Quarter Ending,Average daily weighted imbalance price ($ per gigajoule)
30/09/2008,3.01
31/12/2008,3.26
31/03/2009,2.93
30/06/2009,2.68
30/09/2009,1.71
31/12/2009,1.44
31/03/2010,1.8
30/06/2010,2.4
30/09/2010,2.34
31/12/2010,1.3
31/03/2011,2.7
30/06/2011,3.48
30/09/2011,3.31
31/12/2011,2.43
31/03/2012,3.26
30/06/2012,4.12
30/09/2012,5.03
31/12/2012,4.04
31/03/2013,4.35
30/06/2013,4.53
30/09/2013,4.08
31/12/2013,3.87
31/03/2014,3.9
30/06/2014,3.65
30/09/2014,3.64
31/12/2014,3.33
31/03/2015,3.48
30/06/2015,4.08
30/09/2015,4.68
31/12/2015,4.25
31/03/2016,4.31
30/06/2016,6.74
30/09/2016,8.83
31/12/2016,6.86
31/03/2017,9.11
30/06/2017,9.55
30/09/2017,8.57
31/12/2017,6.36
31/03/2018,8.94
30/06/2018,8.29
30/09/2018,9.43
31/12/2018,9.8
31/03/2019,9.74
30/06/2019,9.72
30/09/2019,8.43
31/12/2019,7.5
31/03/2020,5.72
30/06/2020,4.65
30/09/2020,4.56
31/12/2020,5.52
31/03/2021,5.52
30/06/2021,7.25
30/09/2021,10.1
31/12/2021,10
31/03/2022,9.48
30/06/2022,28.83
30/09/2022,24.4
31/12/2022,17.44
31/03/2023,11.52
